x,DP,Finetuning,1st-Order,2nd-Order,WDP-only,Retraining,SISA
10,73.09252669039145,71.73887900355871,73.72153024911033,98.30871886120995,72.76527283511268,98.48013048635823,96.34193357058128
50,60.351571767497035,60.49065836298932,61.1958778173191,91.84000593119809,60.793149466192176,98.41637010676155,94.9703440094899
100,57.10231316725979,57.06094306049822,57.258896797153014,84.9021352313167,56.980278766310796,98.32147093712929,92.04922894424674
